wage,hours,lhwage,IQ,educ,exper,tenure,age,married,black,south,urban,sibs,brthord,meduc,feduc
769,40,2.9562115153917077,93,12,11,2,31,1,0,0,1,1,2.0,8.0,8.0
808,50,2.7825390530929495,119,18,11,16,37,1,0,0,1,1,,14.0,14.0
825,40,3.0265039322207445,108,14,11,9,33,1,0,0,1,1,2.0,14.0,14.0
650,40,2.7880929087757464,96,12,13,7,32,1,0,0,1,4,3.0,12.0,12.0
562,40,2.642622395779755,74,11,14,5,34,1,0,0,1,10,6.0,6.0,11.0
1400,40,3.5553480614894135,116,16,14,2,35,1,1,0,1,1,2.0,8.0,
600,40,2.70805020110221,91,10,13,0,30,0,0,0,1,1,2.0,8.0,8.0
1081,40,3.296762363525272,114,18,8,14,38,1,0,0,1,2,3.0,8.0,
1154,45,3.244326957297725,111,15,13,1,36,1,0,0,0,2,3.0,14.0,5.0
1000,40,3.2188758248682006,95,12,16,16,36,1,0,0,1,1,1.0,12.0,11.0
930,43,3.0739844704537393,132,18,8,13,38,1,0,0,0,1,1.0,13.0,14.0
921,38,3.187873876528921,102,14,9,11,33,1,0,0,0,1,2.0,16.0,
900,45,2.995732273553991,125,15,4,3,30,0,0,0,0,2,,12.0,12.0
1318,38,3.546284555336067,119,16,7,2,28,1,0,0,1,3,1.0,10.0,10.0
1792,40,3.8022081394209395,118,16,9,9,34,1,0,0,1,1,1.0,12.0,12.0
958,50,2.9528247725427144,105,10,17,2,35,1,0,0,1,1,2.0,6.0,8.0
1360,45,3.4085774889597777,109,15,6,9,36,1,0,0,1,3,3.0,12.0,10.0
850,40,3.056356895370426,72,11,19,10,38,1,0,0,1,2,3.0,10.0,8.0
830,44,2.9372360668723823,105,14,4,7,29,1,0,0,1,3,1.0,12.0,
471,44,2.3706684600981567,101,12,13,7,31,1,0,0,1,3,2.0,8.0,
1275,40,3.46182200347859,123,14,9,1,31,1,0,0,1,0,1.0,12.0,
1615,50,3.475067230228611,113,16,10,4,36,1,0,0,1,2,1.0,12.0,12.0
873,65,2.597548285943965,95,12,14,3,38,1,0,0,1,5,1.0,10.0,10.0
2137,45,3.8604957655488277,145,16,17,8,38,1,0,0,1,2,1.0,12.0,12.0
1053,38,3.3218123524075898,114,16,12,7,32,1,0,0,1,0,1.0,11.0,11.0
1602,60,3.2846635654062037,124,16,8,9,29,1,0,0,1,3,1.0,16.0,16.0
1188,40,3.391147045808654,93,13,16,5,35,1,0,0,1,2,1.0,12.0,8.0
800,40,2.995732273553991,115,18,11,1,35,1,0,1,1,0,1.0,8.0,8.0
1417,48,3.3850962287827895,125,17,9,4,34,1,0,0,1,3,1.0,13.0,12.0
635,40,2.7647455447787554,128,18,8,13,36,0,0,0,1,2,1.0,16.0,16.0
1000,40,3.2188758248682006,103,12,17,2,34,1,0,0,1,1,1.0,8.0,
1424,50,3.349202086543775,98,14,15,4,35,1,0,0,1,1,1.0,12.0,12.0
2668,75,3.5715962934992036,108,13,12,2,32,1,0,1,1,1,2.0,12.0,12.0
666,75,2.1838015570040787,129,18,8,12,38,1,0,0,0,2,1.0,18.0,18.0
1779,40,3.794927233551899,132,17,8,9,32,1,0,0,1,1,1.0,17.0,14.0
782,40,2.972975286431375,92,13,9,10,31,1,0,0,1,3,3.0,8.0,
1572,35,3.804755911499738,108,14,7,5,28,1,1,0,1,1,,12.0,8.0
1274,40,3.4610373820181723,106,13,11,12,31,1,0,0,1,0,1.0,15.0,12.0
714,35,3.0155349008501706,105,16,9,2,29,1,0,0,1,1,2.0,13.0,12.0
1081,40,3.296762363525272,123,18,11,7,36,1,0,0,0,1,1.0,12.0,12.0
692,40,2.8507065015037334,108,12,21,11,38,1,0,0,1,3,1.0,8.0,7.0
1318,38,3.546284555336067,122,17,10,9,33,1,0,0,1,1,,12.0,8.0
1239,45,3.3153973918588227,109,12,16,4,38,1,0,0,1,3,3.0,12.0,
1027,27,3.638560343924229,100,13,12,15,38,1,0,0,1,3,3.0,10.0,9.0
1748,55,3.45889437098301,125,18,12,12,34,1,0,0,1,1,2.0,14.0,15.0
981,40,3.1996930054514268,122,14,9,15,35,0,0,0,1,3,2.0,12.0,
770,40,2.9575110607337933,105,17,7,11,30,1,0,0,1,3,1.0,12.0,12.0
1154,50,3.138966441639899,94,16,11,5,33,1,0,0,1,1,,12.0,12.0
1155,40,3.3629761688419575,102,12,16,5,34,1,0,0,1,1,2.0,12.0,
808,60,2.6002174962989946,109,13,14,12,38,1,0,0,1,2,2.0,12.0,10.0
1100,40,3.3141860046725258,105,12,22,14,38,1,0,0,1,1,1.0,12.0,12.0
1154,40,3.3621099929541085,134,18,10,10,37,1,0,1,1,2,1.0,12.0,12.0
1749,40,3.777920020904666,108,12,13,9,29,0,0,0,1,7,1.0,12.0,9.0
1000,50,2.995732273553991,104,16,11,8,30,1,0,0,1,1,1.0,12.0,11.0
462,40,2.446685436967803,112,12,11,1,29,1,0,0,1,8,3.0,12.0,
769,55,2.637757784273173,120,18,8,12,32,0,0,0,1,1,1.0,11.0,8.0
875,50,2.8622008809294686,124,16,9,3,31,0,0,0,0,2,2.0,17.0,16.0
1375,40,3.5373295559867355,103,12,12,7,29,1,0,0,1,4,2.0,12.0,10.0
1452,45,3.4740347056144216,115,17,1,7,30,1,0,0,1,3,1.0,12.0,14.0
800,40,2.995732273553991,96,12,17,12,35,1,0,0,1,1,2.0,6.0,8.0
1748,55,3.45889437098301,123,17,10,7,36,1,0,0,1,1,1.0,12.0,12.0
1151,40,3.359506954607946,98,12,12,12,29,1,0,0,1,3,4.0,12.0,8.0
840,50,2.8213788864092133,96,12,18,13,35,1,0,0,1,2,1.0,12.0,8.0
978,45,3.0788471802644977,89,12,17,2,38,1,0,0,1,0,1.0,12.0,
963,40,3.181173957684189,109,12,15,15,37,0,0,0,0,5,,,7.0
619,42,2.690435654401228,93,12,10,10,28,0,0,0,1,8,,9.0,11.0
442,60,1.9969653198555974,82,12,12,0,33,1,0,0,1,2,3.0,12.0,9.0
600,40,2.70805020110221,120,15,12,1,38,1,0,0,0,3,4.0,12.0,
1366,38,3.5820558804043494,122,12,15,15,32,1,0,0,1,1,2.0,12.0,
1643,48,3.533078107129377,117,18,8,2,33,1,0,0,1,2,2.0,12.0,18.0
1455,40,3.5938817254916566,109,16,8,13,36,1,0,0,1,1,2.0,8.0,8.0
2310,40,4.056123349401903,114,18,12,7,38,1,0,0,1,2,,12.0,16.0
1682,45,3.6210763507625736,126,16,10,11,31,1,0,0,1,1,1.0,12.0,16.0
1235,40,3.4299467949481413,82,12,10,2,33,1,0,0,1,1,1.0,11.0,11.0
855,45,2.9444389791664403,119,16,11,4,32,1,0,0,1,3,1.0,12.0,9.0
1072,42,3.239611723347379,104,16,6,8,35,1,0,0,1,2,2.0,12.0,6.0
1040,40,3.258096538021482,115,15,8,15,35,1,0,0,1,3,4.0,,11.0
1000,50,2.995732273553991,97,12,17,15,36,1,0,0,1,1,2.0,12.0,12.0
675,40,2.8258332367585934,105,15,8,2,31,1,0,0,0,3,,14.0,12.0
1100,37,3.3921475461422377,100,12,14,1,30,1,0,0,1,1,2.0,7.0,7.0
996,50,2.991724252156452,114,12,5,14,31,1,0,0,1,2,1.0,12.0,10.0
732,40,2.9069010598473755,73,10,17,5,36,1,0,0,1,5,6.0,,
1200,40,3.4011973816621555,96,11,15,3,37,1,0,0,1,4,3.0,8.0,8.0
1694,30,4.033650493549844,113,15,9,8,29,0,0,0,1,3,1.0,12.0,16.0
686,55,2.523544442493414,106,10,15,3,36,1,0,1,1,4,5.0,14.0,10.0
754,40,2.93651291389402,104,13,9,5,32,1,0,0,1,1,2.0,8.0,
857,35,3.198089857108366,80,10,14,15,33,1,0,0,1,2,1.0,,12.0
832,50,2.8118094353930627,104,13,4,2,30,1,0,0,1,1,2.0,12.0,8.0
579,44,2.577112843654734,122,13,8,1,30,1,0,0,0,4,1.0,16.0,16.0
672,61,2.399384476349838,96,12,13,3,34,1,0,0,1,2,,12.0,13.0
2500,40,4.135166556742356,95,15,12,9,36,1,0,0,1,3,1.0,16.0,16.0
1076,45,3.17434325095141,105,12,5,8,31,0,0,0,1,1,1.0,16.0,17.0
750,40,2.9311937524164198,94,12,16,3,37,1,1,0,1,7,3.0,8.0,8.0
1186,30,3.6771441978955153,91,17,8,9,33,1,0,0,1,1,1.0,12.0,14.0
833,48,2.853832631258952,96,16,9,7,31,1,0,0,1,4,4.0,12.0,14.0
650,40,2.7880929087757464,69,12,14,11,30,1,1,0,1,3,4.0,10.0,9.0
1250,46,3.302257433807252,110,12,5,16,38,1,0,0,0,1,1.0,,12.0
1122,48,3.1516670751747506,111,15,12,9,31,1,0,0,1,3,1.0,9.0,12.0
865,40,3.073850052817943,110,16,1,11,31,1,0,0,1,3,1.0,9.0,12.0
808,40,3.005682604407159,97,16,10,7,29,1,0,0,1,3,3.0,9.0,12.0
1299,60,3.075005454448499,125,18,6,12,35,0,0,0,1,1,2.0,8.0,8.0
903,40,3.116843099303049,91,12,6,12,36,1,0,0,1,5,4.0,9.0,10.0
900,40,3.1135153092103742,86,12,17,15,37,1,0,0,1,5,3.0,8.0,10.0
625,40,2.7488721956224653,110,12,18,0,35,1,0,0,1,4,1.0,9.0,8.0
1586,40,3.680090948080857,92,14,16,1,36,1,0,1,1,4,4.0,12.0,
962,40,3.1801349965517702,85,10,15,16,38,1,0,0,1,1,2.0,9.0,12.0
1539,45,3.5322256440685598,120,17,7,8,34,1,0,0,1,1,1.0,8.0,8.0
1110,52,3.0608715757249523,106,12,11,6,33,1,0,0,0,5,2.0,12.0,12.0
1282,45,3.3495141477102957,112,16,6,6,31,0,0,1,1,2,2.0,12.0,12.0
770,48,2.775189503939839,91,12,13,2,38,1,0,0,1,1,2.0,10.0,8.0
1000,45,3.101092789211817,90,12,16,0,38,1,0,0,1,6,3.0,10.0,12.0
895,40,3.107944264160919,86,9,17,16,38,1,1,0,0,2,,,12.0
1205,40,3.405355391810819,86,10,13,0,32,1,1,0,1,5,5.0,8.0,
750,40,2.9311937524164198,113,12,11,10,29,1,0,0,0,1,,12.0,12.0
654,50,2.5710843460290524,111,13,5,16,38,1,0,0,1,3,3.0,12.0,9.0
601,48,2.527393923627317,111,12,15,3,33,1,0,0,1,0,1.0,12.0,12.0
600,40,2.70805020110221,106,13,10,11,28,1,0,0,1,6,,8.0,7.0
433,40,2.3818582738885534,98,12,11,10,30,0,0,0,1,1,1.0,12.0,11.0
1188,40,3.391147045808654,105,12,11,7,30,1,0,0,1,3,1.0,12.0,10.0
635,40,2.7647455447787554,105,12,15,15,33,1,0,0,0,2,2.0,10.0,
1225,40,3.421816668864891,118,13,9,14,32,1,0,0,1,0,1.0,12.0,9.0
1151,45,3.2417239189515628,90,12,19,19,36,1,0,0,1,1,1.0,12.0,8.0
865,40,3.073850052817943,95,12,15,11,32,0,0,0,1,3,1.0,9.0,8.0
1031,40,3.2494050299030235,112,14,9,5,29,1,0,0,1,4,2.0,12.0,12.0
1049,55,2.9482594231638264,120,12,9,11,32,1,0,0,1,3,2.0,12.0,10.0
1000,45,3.101092789211817,123,12,12,1,29,1,0,0,1,3,3.0,12.0,10.0
1105,40,3.3187211598379167,103,13,10,11,30,1,0,0,1,1,1.0,16.0,15.0
1924,50,3.6501386257975055,121,18,11,7,35,1,0,0,1,3,1.0,16.0,18.0
1346,40,3.5160130560907366,90,16,9,16,38,1,0,0,1,1,1.0,12.0,12.0
809,65,2.5214116471628545,125,12,11,10,29,1,0,0,1,0,1.0,12.0,12.0
1495,45,3.503218996054467,109,18,10,3,32,1,0,0,1,3,1.0,9.0,8.0
1346,50,3.2928695047765273,128,16,10,1,33,0,0,0,0,3,1.0,10.0,9.0
1200,40,3.4011973816621555,97,12,10,4,31,1,0,0,1,3,1.0,12.0,12.0
500,40,2.5257286443082556,96,12,6,0,33,1,0,1,1,4,4.0,12.0,12.0
1325,45,3.382505248650003,97,12,12,5,28,1,0,0,1,1,2.0,12.0,8.0
900,40,3.1135153092103742,78,12,16,5,33,1,1,0,1,4,1.0,7.0,6.0
800,40,2.995732273553991,112,12,15,3,34,1,0,0,1,6,4.0,7.0,
800,40,2.995732273553991,88,12,16,7,38,1,0,0,1,3,2.0,2.0,5.0
1034,40,3.2523106009544382,97,12,15,16,36,1,0,0,1,14,10.0,14.0,11.0
980,40,3.1986731175506815,101,12,4,12,36,1,0,0,1,1,,6.0,9.0
884,40,3.095577608523707,106,10,19,12,34,1,0,0,1,2,1.0,7.0,10.0
480,40,2.4849066497880004,59,10,11,5,34,0,0,0,1,0,1.0,8.0,6.0
923,40,3.138749780388916,105,18,7,14,34,1,0,0,1,1,1.0,12.0,12.0
513,45,2.4336133554004498,119,17,8,5,31,0,0,0,1,1,1.0,12.0,8.0
1105,40,3.3187211598379167,93,11,17,16,37,0,0,0,1,2,2.0,8.0,8.0
1193,50,3.17220341666977,82,12,19,10,36,1,0,1,1,0,1.0,12.0,
2771,50,4.014940539434832,134,18,6,7,34,1,0,0,1,4,3.0,16.0,16.0
779,40,2.969131591756812,84,12,9,6,30,1,0,0,1,0,1.0,8.0,12.0
950,60,2.762117422372486,98,11,13,6,31,1,0,0,1,2,1.0,12.0,12.0
1394,40,3.551053137206533,118,16,11,8,30,1,0,0,0,2,1.0,13.0,12.0
1495,45,3.503218996054467,113,17,13,9,33,1,0,0,1,3,3.0,12.0,8.0
650,40,2.7880929087757464,100,12,4,3,28,1,0,0,1,6,2.0,9.0,11.0
670,40,2.8183982582710754,93,13,9,5,29,1,0,0,1,2,,12.0,12.0
1126,40,3.3375473545856993,119,16,5,8,32,1,0,0,1,1,1.0,12.0,10.0
450,64,1.9503644994046936,67,12,11,1,33,0,1,0,1,6,1.0,11.0,4.0
1028,40,3.246490991901174,111,12,19,12,37,1,1,1,1,3,4.0,12.0,
2404,50,3.872866290226952,106,15,8,0,32,1,0,0,1,2,1.0,12.0,12.0
1899,40,3.8602032566983495,127,18,9,14,36,0,0,0,1,0,1.0,10.0,
757,40,2.9404837993235127,113,16,10,9,33,1,0,0,1,2,1.0,12.0,12.0
1250,40,3.4420193761824107,115,14,9,1,29,1,0,0,1,2,2.0,12.0,12.0
1162,48,3.1866969265039655,102,16,8,11,31,1,0,0,1,3,2.0,12.0,
1025,40,3.2435684374585723,85,15,9,13,29,1,1,0,1,6,1.0,14.0,12.0
1100,50,3.091042453358316,117,16,11,12,32,1,0,0,0,0,1.0,12.0,10.0
714,35,3.0155349008501706,125,16,7,5,28,1,0,0,1,4,1.0,10.0,10.0
1318,35,3.628522653573039,118,16,16,17,37,1,0,0,0,1,1.0,8.0,12.0
1411,45,3.4453914620824944,121,18,14,3,38,1,0,0,1,3,2.0,12.0,16.0
2162,40,3.9899095440852173,115,17,4,4,38,1,0,0,1,1,1.0,12.0,12.0
1273,55,3.1417984133249357,120,14,11,16,36,1,0,0,0,1,1.0,12.0,
1140,48,3.1675825304806504,109,12,16,15,35,1,0,0,1,2,2.0,11.0,6.0
578,40,2.670694414558441,109,13,7,4,30,0,0,0,1,1,,12.0,11.0
942,40,3.159125820462427,85,12,7,10,38,1,0,0,1,4,5.0,,
1058,40,3.2752561583043085,85,12,17,8,38,1,0,0,0,4,1.0,12.0,
750,40,2.9311937524164198,106,14,9,9,29,1,0,0,1,1,2.0,11.0,10.0
1000,60,2.8134107167600364,101,12,11,6,30,1,0,0,1,3,1.0,10.0,10.0
951,60,2.7631695003232895,116,12,9,7,30,1,0,0,1,4,5.0,12.0,9.0
635,47,2.6034773971826333,91,12,13,2,31,1,0,0,1,2,2.0,7.0,7.0
1250,40,3.4420193761824107,91,12,13,1,34,1,0,0,1,3,1.0,11.0,5.0
675,40,2.8258332367585934,110,12,6,15,34,1,0,0,1,2,1.0,7.0,
400,40,2.302585092994046,75,12,11,6,32,1,0,0,1,4,,7.0,12.0
577,50,2.4458192610799534,94,12,9,8,29,1,0,0,1,2,,12.0,8.0
590,40,2.691243082785829,109,13,10,7,29,1,0,0,0,2,2.0,12.0,12.0
923,50,2.9156062290747062,122,16,10,10,31,1,0,0,0,1,2.0,8.0,8.0
1250,50,3.2188758248682006,102,12,6,2,32,0,0,0,1,4,2.0,11.0,8.0
1100,40,3.3141860046725258,122,14,11,8,33,1,0,0,1,2,3.0,8.0,10.0
1130,50,3.1179499062782403,105,12,18,2,37,1,0,0,1,4,2.0,10.0,10.0
652,50,2.5680215564985067,113,12,14,4,36,0,0,0,1,1,2.0,9.0,9.0
618,42,2.6888188391743224,104,12,6,2,30,1,0,0,1,3,2.0,8.0,12.0
962,50,2.9569914452375605,124,16,7,14,34,1,0,0,1,2,2.0,9.0,11.0
529,40,2.582108977744363,110,13,14,11,32,1,0,0,0,1,1.0,12.0,8.0
817,40,3.0167596407460664,95,12,16,14,33,1,0,0,0,2,1.0,12.0,12.0
962,40,3.1801349965517702,120,16,8,9,32,1,0,0,0,0,1.0,18.0,
840,40,3.044522437723423,105,12,19,15,38,1,0,0,0,3,1.0,12.0,8.0
866,40,3.075005454448499,121,16,7,4,28,1,0,0,0,1,,12.0,12.0
2404,50,3.872866290226952,96,14,1,1,36,1,0,0,1,5,5.0,8.0,10.0
1126,40,3.3375473545856993,110,12,16,2,32,1,0,0,1,6,1.0,9.0,12.0
1160,40,3.367295829986474,92,12,8,8,31,1,0,0,0,4,1.0,12.0,11.0
723,40,2.8945297680448285,98,12,15,5,38,1,0,0,1,1,1.0,9.0,
1778,40,3.794364961959914,109,16,14,13,36,1,0,0,1,0,1.0,11.0,12.0
1903,48,3.679985856388259,118,18,13,5,36,1,0,0,0,0,1.0,11.0,11.0
1010,40,3.228826155721369,97,18,7,14,34,1,0,0,1,4,5.0,14.0,
971,40,3.1894470141773885,95,17,5,11,37,1,0,0,1,1,2.0,16.0,8.0
525,40,2.5745188084776873,99,12,9,2,34,1,0,0,1,2,1.0,10.0,8.0
525,40,2.5745188084776873,106,12,12,13,30,1,0,0,0,1,1.0,10.0,12.0
670,45,2.700615222614692,117,12,10,3,30,1,0,0,0,5,2.0,12.0,
500,45,2.407945608651872,90,12,19,4,37,1,0,0,0,0,1.0,12.0,6.0
1058,45,3.157473122647925,98,14,14,15,34,1,0,0,0,2,3.0,,
550,46,2.4812768817374216,95,12,18,15,35,1,0,0,1,1,1.0,12.0,11.0
500,45,2.407945608651872,115,12,14,1,32,1,0,0,1,1,2.0,12.0,11.0
727,55,2.5815932923010485,106,15,10,5,31,0,0,0,1,1,,12.0,12.0
865,40,3.073850052817943,114,12,6,8,30,1,0,0,0,2,3.0,8.0,8.0
1081,40,3.296762363525272,92,13,8,2,30,1,0,1,1,3,4.0,12.0,10.0
1304,45,3.3665292527162785,119,17,9,9,31,1,0,0,0,1,1.0,13.0,12.0
575,40,2.665490586683414,85,13,6,1,30,1,0,0,0,1,2.0,13.0,12.0
623,45,2.6278840290171335,98,16,7,1,30,1,0,0,0,3,1.0,12.0,12.0
515,45,2.4375044108934163,114,13,8,10,28,1,0,0,0,3,2.0,12.0,12.0
1273,55,3.1417984133249357,84,18,14,4,37,1,0,0,1,1,1.0,8.0,12.0
990,40,3.2088254890146994,108,13,13,9,33,1,0,0,0,4,1.0,16.0,16.0
600,40,2.70805020110221,107,12,16,6,33,1,0,0,0,5,6.0,8.0,4.0
1160,40,3.367295829986474,84,12,17,2,38,1,0,0,0,4,2.0,16.0,12.0
500,55,2.207274913189721,86,12,11,9,29,1,0,0,0,5,5.0,10.0,12.0
795,45,2.8716796248840124,88,12,17,18,35,1,0,0,0,2,2.0,10.0,12.0
500,50,2.302585092994046,97,11,20,3,37,1,0,0,0,2,1.0,,
740,50,2.6946271807700692,84,10,23,13,38,1,0,0,0,5,1.0,,9.0
1250,40,3.4420193761824107,117,16,10,7,33,1,0,0,1,1,1.0,12.0,14.0
1014,55,2.9143249989186577,110,16,13,9,30,0,0,0,1,1,2.0,12.0,14.0
1250,32,3.6651629274966204,104,13,13,3,33,1,0,0,1,3,3.0,9.0,
913,40,3.1278564264810322,110,14,4,13,29,1,0,0,1,3,4.0,9.0,
1346,40,3.5160130560907366,99,16,9,8,30,1,0,0,1,2,,11.0,12.0
445,40,2.409194828052304,80,10,19,0,38,1,0,0,0,5,5.0,,
265,40,1.890850371872286,101,12,18,2,37,1,0,0,1,1,2.0,,
