wage,hours,lhwage,IQ,educ,exper,tenure,age,married,black,south,urban,sibs,brthord,meduc,feduc
1058,40,3.2752561583043085,120,16,16,13,37,1,0,0,0,5,4.0,12.0,4.0
1000,40,3.2188758248682006,96,11,15,15,37,1,0,0,1,5,5.0,8.0,9.0
318,40,2.0731719286662407,67,12,16,5,36,1,1,1,1,6,,7.0,5.0
556,40,2.631888840136646,69,11,13,9,34,0,1,0,1,3,,8.0,8.0
958,60,2.77050321574876,98,12,11,9,28,1,0,0,1,0,1.0,12.0,11.0
995,40,3.2138632830446565,92,9,22,13,38,1,1,0,1,7,3.0,7.0,4.0
1600,50,3.4657359027997265,109,14,16,5,33,1,0,0,0,2,,9.0,10.0
606,45,2.6002174962989946,100,18,6,5,30,0,0,0,0,1,,12.0,12.0
511,45,2.429707100433385,101,12,13,1,30,1,0,0,1,4,2.0,11.0,12.0
1411,45,3.4453914620824944,111,16,11,12,32,1,0,1,1,1,1.0,12.0,9.0
1346,40,3.5160130560907366,106,16,15,11,37,1,0,0,1,1,1.0,8.0,14.0
1522,46,3.4991391419325364,102,12,15,16,37,1,0,0,0,3,2.0,12.0,10.0
1075,40,3.2911964864478267,115,14,9,10,30,1,0,0,0,2,1.0,12.0,10.0
1200,50,3.1780538303479458,99,12,11,11,28,1,0,0,1,5,4.0,10.0,8.0
1377,37,3.6167445860844305,118,16,15,1,36,1,0,0,1,2,2.0,11.0,10.0
874,55,2.7657471904230646,132,13,8,2,33,1,0,0,0,2,1.0,13.0,16.0
625,40,2.7488721956224653,108,13,11,9,30,1,0,0,1,3,,12.0,16.0
1250,32,3.6651629274966204,98,12,17,2,33,1,0,0,1,0,1.0,14.0,10.0
1082,40,3.2976870052924907,111,13,20,12,36,1,0,0,1,4,2.0,8.0,11.0
693,40,2.852150545075967,79,11,18,3,38,1,0,0,0,3,2.0,8.0,8.0
727,55,2.5815932923010485,97,12,11,11,31,1,0,0,0,3,1.0,12.0,11.0
615,50,2.509599262378372,99,15,16,15,38,1,0,0,0,2,3.0,12.0,14.0
913,40,3.1278564264810322,101,16,5,7,31,1,0,0,1,2,3.0,12.0,
884,46,2.955815666148548,120,17,4,10,36,1,0,0,0,2,1.0,12.0,18.0
698,43,2.78701898706881,97,12,10,4,29,1,0,0,1,2,3.0,8.0,8.0
800,55,2.6772785424354564,106,12,17,18,36,1,0,0,0,3,3.0,8.0,12.0
812,40,3.0106208860477417,131,16,9,3,30,0,0,0,0,1,1.0,12.0,12.0
1000,40,3.2188758248682006,93,11,16,14,34,1,0,0,1,1,,12.0,8.0
549,49,2.416278143398904,79,12,11,3,32,0,0,0,0,4,2.0,8.0,8.0
1300,35,3.6147714819602146,100,12,13,15,31,1,0,0,1,4,2.0,11.0,
923,50,2.9156062290747062,107,16,9,8,33,1,0,0,1,6,4.0,9.0,8.0
1539,40,3.650008679724943,112,12,15,15,32,1,0,0,0,3,1.0,,10.0
721,40,2.8917596831710126,105,12,11,9,30,1,0,0,0,3,2.0,12.0,10.0
815,40,3.0143086591269266,114,12,15,14,31,1,0,0,0,2,1.0,12.0,10.0
600,80,2.0149030205422647,116,12,20,2,38,1,0,0,0,10,10.0,8.0,
1100,40,3.3141860046725258,104,12,18,7,37,1,0,0,1,2,3.0,11.0,13.0
1058,40,3.2752561583043085,85,12,18,19,35,1,0,0,1,2,1.0,9.0,12.0
962,40,3.1801349965517702,93,12,15,1,30,1,0,0,1,2,2.0,9.0,12.0
433,50,2.1587147225743437,100,12,5,9,37,1,0,0,0,2,2.0,8.0,7.0
940,40,3.1570004211501135,71,11,9,2,29,1,0,0,0,2,3.0,,
1417,38,3.6187110799642945,88,16,9,10,32,0,0,0,1,2,1.0,12.0,12.0
1000,65,2.7333680090865,93,12,11,9,29,1,0,0,1,7,1.0,12.0,8.0
500,40,2.5257286443082556,98,13,14,5,32,1,0,0,0,3,4.0,12.0,8.0
800,50,2.772588722239781,110,14,8,5,28,1,0,0,1,3,4.0,12.0,10.0
766,40,2.952302715626655,109,12,17,18,35,1,0,0,0,4,3.0,,6.0
750,43,2.8588730908367936,94,14,12,10,33,1,0,0,0,1,1.0,11.0,12.0
550,40,2.6210388241125804,77,12,15,2,37,1,0,0,0,6,3.0,8.0,8.0
795,52,2.7270983960729045,89,11,16,4,34,1,0,0,1,6,1.0,,
723,40,2.8945297680448285,102,12,12,10,30,1,0,0,1,10,6.0,12.0,6.0
1039,40,3.257134536985291,113,14,12,8,34,1,0,0,1,1,2.0,16.0,14.0
200,55,1.2909841813155658,103,10,11,15,32,1,0,1,1,3,2.0,12.0,5.0
400,40,2.302585092994046,90,10,12,1,32,1,1,0,1,5,3.0,8.0,
575,40,2.665490586683414,96,11,17,1,35,1,0,1,1,2,1.0,12.0,7.0
850,40,3.056356895370426,97,11,16,5,37,1,0,1,1,1,1.0,12.0,6.0
508,50,2.318458442150336,87,12,16,1,32,1,1,1,1,2,1.0,10.0,
1162,45,3.2512354476415366,89,12,11,4,37,1,0,1,1,3,3.0,15.0,
1199,43,3.3280430393339517,70,13,13,5,30,1,1,1,1,3,1.0,8.0,
1270,40,3.457892725338701,104,16,8,4,31,1,0,1,1,3,4.0,16.0,17.0
350,45,2.05127066471314,116,16,5,3,33,1,0,1,1,2,2.0,11.0,12.0
963,40,3.181173957684189,85,14,9,9,28,1,1,1,1,5,1.0,7.0,
1463,45,3.4815819112498048,104,15,14,11,37,1,0,1,1,3,4.0,12.0,12.0
802,40,2.998229153752578,99,12,13,12,29,1,1,1,1,8,6.0,9.0,12.0
642,45,2.6579258139196416,93,12,12,7,30,1,1,1,1,1,2.0,6.0,6.0
751,40,2.932526197650198,114,13,9,2,28,1,0,1,1,2,2.0,12.0,10.0
488,40,2.501435951739211,103,17,5,3,31,1,0,1,1,1,,12.0,16.0
1400,40,3.5553480614894135,92,12,15,5,36,1,0,1,1,2,1.0,6.0,2.0
940,45,3.0392173854937297,98,18,10,7,31,1,0,1,1,2,2.0,8.0,12.0
866,40,3.075005454448499,114,13,15,16,37,1,0,1,1,3,1.0,12.0,
675,40,2.8258332367585934,77,12,20,4,38,1,1,1,1,5,2.0,12.0,6.0
375,40,2.2380465718564744,89,14,9,3,30,1,1,1,1,3,1.0,13.0,
325,40,2.094945728215801,93,14,10,1,33,1,1,1,1,1,,16.0,
346,40,2.157559320943788,110,12,16,17,38,1,0,1,1,2,,12.0,5.0
1442,40,3.584906863730958,132,17,8,1,33,1,0,1,1,3,1.0,8.0,12.0
560,49,2.436116485618568,112,16,13,2,32,1,0,1,0,3,1.0,8.0,2.0
550,56,2.2845665874913674,99,12,17,11,36,1,0,1,1,1,2.0,12.0,12.0
950,44,3.072272350676325,96,16,8,10,32,1,1,1,1,1,2.0,10.0,
684,45,2.7212954278522306,106,13,16,2,38,1,0,1,1,1,1.0,12.0,14.0
1322,40,3.498021566297695,128,16,7,1,33,1,0,1,1,0,1.0,18.0,
1634,40,3.709906821306012,95,12,18,3,38,1,0,1,1,3,3.0,,3.0
417,40,2.3442067676848652,80,12,8,0,30,0,0,1,1,3,4.0,8.0,7.0
472,45,2.350316495815236,71,11,9,0,32,1,0,1,1,13,6.0,6.0,6.0
666,50,2.589266665112243,89,12,16,1,34,1,1,1,1,6,1.0,9.0,
1679,55,3.41862047184507,127,18,10,3,32,1,0,1,1,1,2.0,12.0,16.0
1039,40,3.257134536985291,114,16,1,9,31,0,0,1,1,6,5.0,8.0,8.0
1250,40,3.4420193761824107,102,13,13,11,30,1,0,1,1,5,6.0,7.0,
760,40,2.9444389791664403,88,12,12,15,31,1,0,1,1,2,1.0,12.0,7.0
1154,42,3.3133198287846763,88,12,14,12,29,1,0,1,1,2,2.0,12.0,7.0
1602,60,3.2846635654062037,110,15,14,1,37,1,0,0,1,5,1.0,14.0,12.0
1442,40,3.584906863730958,110,13,13,13,29,1,1,1,1,1,2.0,7.0,9.0
865,40,3.073850052817943,130,16,5,3,30,1,0,0,1,4,2.0,8.0,12.0
705,50,2.6461747973841225,100,12,15,12,36,1,0,1,1,1,2.0,,
1000,40,3.2188758248682006,101,12,16,1,35,1,0,1,1,1,1.0,12.0,
852,44,2.9633968929110543,89,10,13,9,32,1,0,1,1,6,7.0,9.0,
770,40,2.9575110607337933,80,12,16,14,35,1,0,0,1,1,2.0,12.0,12.0
1000,40,3.2188758248682006,72,12,16,9,34,1,0,0,1,3,4.0,12.0,12.0
1329,55,3.1848488734807745,115,18,10,5,36,1,0,0,1,1,1.0,12.0,12.0
1682,40,3.738859386418957,115,16,10,4,37,1,0,1,1,1,2.0,12.0,17.0
577,55,2.3505090812756286,108,16,4,0,31,1,1,1,1,2,2.0,8.0,8.0
685,40,2.840539384148289,93,12,17,7,38,0,0,1,1,6,6.0,8.0,3.0
577,40,2.668962812394163,111,16,8,8,29,0,1,1,1,1,1.0,18.0,18.0
1040,40,3.258096538021482,101,12,19,9,38,1,1,1,1,6,1.0,11.0,12.0
1250,40,3.4420193761824107,92,16,10,11,32,0,0,1,1,1,1.0,12.0,10.0
600,40,2.70805020110221,115,13,7,7,28,0,0,1,1,4,5.0,5.0,
480,40,2.4849066497880004,76,12,17,3,35,0,1,1,1,8,5.0,11.0,10.0
1000,40,3.2188758248682006,93,11,11,0,29,1,0,1,1,5,3.0,12.0,12.0
988,48,3.0244816868399766,91,12,15,15,36,1,0,1,1,1,2.0,8.0,8.0
478,45,2.3629482427211363,90,10,19,10,34,1,0,1,1,2,1.0,9.0,9.0
440,40,2.3978952727983707,84,12,11,2,30,1,1,1,1,5,3.0,9.0,4.0
485,40,2.495269436823547,120,12,11,1,30,1,1,1,1,6,6.0,,
705,40,2.8693183486983322,89,9,19,0,36,1,1,1,1,0,1.0,,
1550,40,3.657130755799356,104,12,16,1,34,1,0,1,0,8,4.0,9.0,10.0
960,40,3.1780538303479458,107,12,11,9,29,1,1,1,1,11,2.0,6.0,9.0
1000,40,3.2188758248682006,100,12,16,14,32,1,0,1,1,2,3.0,12.0,12.0
625,40,2.7488721956224653,129,18,4,5,36,1,0,1,0,3,1.0,15.0,15.0
1346,40,3.5160130560907366,112,16,14,14,35,1,0,0,1,0,1.0,12.0,16.0
961,40,3.1790949548563563,76,12,13,13,31,0,1,0,1,13,5.0,,8.0
479,40,2.482821143296979,97,12,15,1,38,1,0,1,0,3,4.0,,
1201,50,3.1788868166518376,98,11,17,16,36,1,0,1,0,4,5.0,11.0,2.0
1346,45,3.398230020434353,60,16,8,2,31,1,0,1,1,2,3.0,,
1122,35,3.467520024593228,132,18,13,8,32,1,0,1,1,2,3.0,12.0,7.0
543,45,2.4904468301636156,90,14,5,7,38,1,1,1,1,1,2.0,6.0,
450,40,2.4203681286504293,63,11,12,4,31,1,1,1,1,7,2.0,7.0,
507,55,2.2211778183587123,110,14,10,4,32,1,0,1,1,2,2.0,13.0,16.0
547,60,2.2101042401998807,88,11,17,5,34,1,0,1,1,4,5.0,,
586,56,2.3479680988418634,98,11,18,16,35,1,0,1,1,2,2.0,,6.0
462,55,2.128231705849268,61,12,6,4,29,1,1,1,0,9,,8.0,3.0
705,40,2.8693183486983322,76,12,13,8,37,1,1,0,1,5,,,
1566,40,3.667400422436812,127,12,7,1,29,1,0,0,1,3,2.0,11.0,
1634,40,3.709906821306012,94,13,18,18,36,1,0,1,1,2,2.0,8.0,8.0
1282,45,3.3495141477102957,97,16,4,1,32,1,0,0,1,11,3.0,16.0,16.0
556,40,2.631888840136646,127,16,6,2,31,1,1,1,1,2,1.0,12.0,12.0
1200,40,3.4011973816621555,109,15,7,8,33,1,0,0,1,2,1.0,11.0,12.0
855,45,2.9444389791664403,89,12,6,6,31,1,0,1,0,4,3.0,3.0,3.0
1053,40,3.270519058020039,90,12,18,7,37,1,0,1,0,1,1.0,11.0,11.0
1000,48,3.036554268074246,105,12,11,4,28,1,0,1,0,0,1.0,12.0,7.0
900,55,2.7950615780918397,100,12,18,5,34,0,0,0,1,2,2.0,8.0,
1602,45,3.572345637857985,111,16,10,10,31,1,0,1,0,1,,16.0,12.0
508,50,2.318458442150336,125,17,9,2,31,1,0,1,1,3,1.0,16.0,13.0
1500,60,3.2188758248682006,124,16,6,6,29,1,0,1,0,2,,12.0,10.0
1682,50,3.5157158351047473,107,14,15,9,32,1,0,1,1,0,1.0,12.0,12.0
750,40,2.9311937524164198,110,13,13,1,35,1,0,1,1,2,,12.0,16.0
843,40,3.048087503887919,102,14,8,7,29,1,0,1,0,1,1.0,16.0,16.0
409,40,2.3248357019288655,93,12,17,18,38,0,0,1,0,0,1.0,,
1004,40,3.2228678461377385,81,12,17,15,34,1,0,1,0,1,1.0,12.0,
650,40,2.7880929087757464,99,12,13,10,30,1,0,1,0,1,2.0,12.0,10.0
808,40,3.005682604407159,93,12,17,9,37,1,1,1,0,4,1.0,,
2137,45,3.8604957655488277,102,13,8,2,30,1,0,1,0,0,1.0,12.0,12.0
761,48,2.763432346953795,95,12,14,21,38,1,0,1,1,1,1.0,12.0,5.0
769,40,2.9562115153917077,98,16,8,3,35,0,0,1,1,0,1.0,11.0,8.0
345,40,2.1546649629174235,84,12,7,8,31,1,1,1,1,2,2.0,,
495,40,2.515678308454754,88,12,6,10,31,1,0,1,1,2,1.0,,7.0
987,38,3.257083879707096,109,16,9,3,31,1,0,1,1,3,4.0,4.0,
2500,60,3.7297014486341915,82,12,21,1,38,1,0,1,0,3,3.0,8.0,5.0
1098,45,3.1945831322991562,105,14,6,1,32,0,0,1,1,1,2.0,12.0,
1212,40,3.4111477125153233,95,12,6,16,38,1,0,1,0,3,1.0,12.0,8.0
577,40,2.668962812394163,92,15,8,1,28,1,1,1,1,1,2.0,10.0,7.0
390,59,1.8886092952179727,74,15,10,3,30,1,1,1,1,3,3.0,7.0,6.0
1500,40,3.624340932976365,123,16,9,12,32,1,0,1,1,1,1.0,12.0,14.0
583,80,1.9861605516766108,86,12,9,1,30,1,0,1,1,2,2.0,12.0,12.0
460,40,2.4423470353692043,92,11,16,1,36,1,0,1,1,5,6.0,,
945,40,3.1623054733798064,87,12,12,13,38,1,0,1,1,2,2.0,8.0,
1442,60,3.179441755622794,117,16,9,3,31,1,0,1,1,1,2.0,12.0,10.0
1333,45,3.388524830408389,112,16,14,8,38,1,0,1,1,1,2.0,12.0,4.0
1500,37,3.702302474446077,119,15,8,5,33,0,0,0,1,1,1.0,12.0,18.0
1333,45,3.388524830408389,103,16,7,1,34,1,0,0,1,3,1.0,,
700,40,2.8622008809294686,74,12,16,4,36,1,1,1,1,3,,9.0,
973,36,3.296865143729895,81,13,11,5,32,1,0,1,1,0,1.0,6.0,9.0
2162,40,3.9899095440852173,124,18,10,8,32,1,0,1,1,1,1.0,10.0,10.0
797,41,2.9672826120859073,89,12,10,7,36,1,0,1,0,1,2.0,7.0,8.0
400,40,2.302585092994046,88,12,14,1,32,1,1,1,1,7,7.0,7.0,6.0
1015,40,3.2337644373619514,67,12,15,11,32,1,1,0,1,3,2.0,9.0,5.0
1744,43,3.7027364887753627,106,16,8,9,29,1,0,1,1,1,1.0,12.0,16.0
630,40,2.7568403652716422,103,15,14,2,32,1,0,1,0,0,1.0,11.0,5.0
445,40,2.409194828052304,91,12,11,4,32,1,0,1,0,0,1.0,6.0,8.0
660,42,2.7545702167371027,101,16,12,9,31,1,0,1,1,0,1.0,12.0,12.0
779,40,2.969131591756812,85,12,14,7,37,1,1,1,1,7,4.0,12.0,
377,40,2.2433657333340746,83,12,9,1,36,0,0,1,1,1,1.0,12.0,12.0
560,44,2.5437471498109336,70,12,16,11,35,1,1,1,1,2,1.0,8.0,
1122,60,2.928523523860541,102,17,7,13,32,1,0,1,1,2,2.0,12.0,11.0
453,50,2.203869120054888,94,12,9,2,30,1,0,1,0,6,4.0,7.0,7.0
1386,40,3.5452977256359124,97,10,17,9,37,1,0,1,1,1,2.0,12.0,8.0
1539,40,3.650008679724943,115,17,7,9,31,1,0,1,1,2,1.0,12.0,16.0
1154,40,3.3621099929541085,117,16,11,12,35,1,0,1,1,5,5.0,17.0,18.0
962,50,2.9569914452375605,105,14,15,2,37,1,0,1,1,3,4.0,8.0,4.0
722,55,2.574691953660355,113,16,8,1,38,0,0,1,1,1,2.0,8.0,
480,40,2.4849066497880004,83,12,9,3,37,1,0,1,1,4,3.0,10.0,11.0
808,50,2.7825390530929495,101,18,8,9,38,1,0,1,0,3,2.0,17.0,12.0
1442,40,3.584906863730958,113,13,14,8,36,1,0,1,1,2,1.0,12.0,12.0
1091,50,3.0828269804049246,88,13,13,4,37,1,0,0,1,4,1.0,12.0,
350,40,2.169053700369523,93,12,16,0,33,0,1,1,1,1,1.0,12.0,
500,40,2.5257286443082556,83,12,18,11,36,1,1,1,1,0,1.0,7.0,
1026,45,3.126760535960395,113,16,9,13,30,1,0,1,1,2,2.0,16.0,14.0
577,40,2.668962812394163,106,17,11,7,33,0,1,1,1,3,2.0,13.0,16.0
1333,60,3.100842757956608,106,15,5,1,30,1,0,1,1,2,2.0,12.0,12.0
915,55,2.8115908800430502,114,12,17,9,37,1,0,0,1,1,,10.0,
1105,40,3.3187211598379167,119,16,9,10,30,0,0,1,1,5,1.0,11.0,10.0
910,40,3.1245651453969594,82,14,5,5,30,1,1,1,1,10,,9.0,3.0
1000,40,3.2188758248682006,89,12,17,8,38,1,0,1,1,7,7.0,1.0,4.0
1160,40,3.367295829986474,74,12,14,1,33,1,1,1,1,9,6.0,3.0,4.0
1001,34,3.3823942546990593,77,12,12,3,29,1,1,1,1,9,8.0,3.0,4.0
713,40,2.8806019663003597,75,12,5,12,36,1,1,1,1,7,4.0,,
929,40,3.1452292846999024,97,13,12,5,30,1,0,1,1,2,1.0,12.0,12.0
400,50,2.0794415416798357,68,12,4,9,31,1,1,1,1,6,1.0,6.0,2.0
1241,40,3.434793331090671,83,13,9,10,33,1,0,1,1,2,3.0,12.0,12.0
1065,40,3.2818506240295893,97,12,21,10,36,1,0,1,1,1,1.0,12.0,
403,45,2.1922740721763634,98,12,5,3,30,1,0,1,1,2,,12.0,12.0
940,45,3.0392173854937297,102,13,15,12,30,1,1,1,1,2,2.0,,
812,40,3.0106208860477417,81,10,17,13,34,1,1,1,1,2,2.0,8.0,3.0
700,20,3.5553480614894135,85,10,13,0,35,1,1,1,1,3,,6.0,10.0
575,40,2.665490586683414,86,10,12,6,33,1,1,1,1,8,,,
450,40,2.4203681286504293,79,10,20,5,36,1,1,1,1,7,6.0,12.0,12.0
621,43,2.6701309662399164,84,12,14,10,31,1,0,1,0,4,3.0,8.0,6.0
441,38,2.4514587157204604,74,12,12,11,30,1,0,1,0,4,4.0,8.0,6.0
625,40,2.7488721956224653,92,16,6,9,33,1,1,1,0,11,1.0,,
726,45,2.7808875250544762,93,12,16,5,36,1,0,1,0,5,2.0,6.0,
500,40,2.5257286443082556,69,9,21,13,38,1,1,1,1,8,6.0,6.0,
1000,44,3.123565645063876,113,17,8,2,34,1,0,1,1,4,1.0,17.0,18.0
393,48,2.1026086009613705,92,12,15,16,38,1,0,1,1,1,1.0,8.0,7.0
600,40,2.70805020110221,127,12,8,3,28,0,0,1,0,2,2.0,9.0,12.0
962,50,2.9569914452375605,109,12,21,12,37,1,0,1,0,0,1.0,6.0,
962,40,3.1801349965517702,97,12,15,4,34,1,0,1,0,5,1.0,10.0,8.0
865,40,3.073850052817943,66,11,10,7,30,1,0,0,1,14,4.0,0.0,10.0
1154,50,3.138966441639899,109,16,10,3,35,1,0,1,1,2,1.0,16.0,14.0
1386,42,3.4965075614664802,109,16,10,11,34,1,0,1,0,1,1.0,4.0,14.0
732,40,2.9069010598473755,104,12,10,7,36,1,0,1,1,1,2.0,,
865,40,3.073850052817943,85,13,4,9,34,1,0,1,1,3,3.0,8.0,8.0
700,40,2.8622008809294686,81,12,13,13,31,1,0,1,0,5,6.0,8.0,4.0
975,40,3.193558016883911,87,9,20,10,37,1,0,1,0,3,,5.0,4.0
1300,40,3.481240089335692,78,13,12,3,33,1,0,1,1,2,3.0,12.0,12.0
900,40,3.1135153092103742,54,14,12,3,31,1,0,1,1,2,1.0,12.0,12.0
829,40,3.031340701021359,98,12,15,15,36,1,0,0,1,4,5.0,8.0,8.0
1000,40,3.2188758248682006,98,12,17,13,36,1,0,1,1,3,,12.0,
827,40,3.028925240909755,105,16,7,8,30,1,0,0,1,2,1.0,16.0,12.0
500,44,2.4304184645039304,87,13,5,2,31,1,0,1,1,7,,12.0,
1155,40,3.3629761688419575,117,13,9,1,28,1,0,0,1,3,2.0,12.0,12.0
950,55,2.8491287993621155,85,15,8,3,29,0,0,0,1,2,,12.0,12.0
